sample_type GATA3 PTEN XBP1 ESR1 MUC1
Tumor 1.73 0.85 2.74 5.55 3.7
Tumor 1.43 0.28 2.14 3.45 3.11
Tumor 2.02 0.9 3.27 3.74 2.21
Tumor 2.33 0.2 3.73 4.53 2.71
Tumor -4.57 0.66 -1.4 -3.59 2.85
Tumor 1.43 1.19 2.21 3.83 2.76
Tumor 1.97 1.56 2.26 2.38 2.31
Tumor -2.71 0.46 -1.59 -2.92 0.87
Tumor 1.5 0.42 2.03 3.88 2.75
Tumor 3.14 0.62 3.44 4.63 3.32
Tumor 0 1.69 3.2 3.98 1.26
Tumor -1.03 0.05 -1.26 -1.1 1.92
Tumor 1.22 1.57 1.05 4.65 3.47
Tumor 0.32 0.88 1.36 3.15 1.69
Tumor 2.48 0.62 3.02 5.47 3.78
Tumor 2.42 0.02 2.3 4.66 -1.92
Tumor -3.25 2.04 -1.67 0.58 -2.79
Tumor 2.84 0.92 3.13 3.29 1.38
Tumor -1.06 0.48 -0.78 -3.34 2.15
Tumor -3.86 1.7 -1.38 0.03 -2.4
Tumor 1.93 -0.42 2.06 4.46 3.79
Tumor -1.75 -0.43 -1.21 -3.04 2.97
Tumor -0.43 1.75 0.85 2.49 0.23
Tumor -4.4 0.83 -1.34 -1.09 0.87
Tumor -0.75 1.92 -0.07 0.35 -0.05
Tumor 2.26 1.07 3.16 2.84 3.56
Tumor 3.32 -0.1 3.65 5.61 1.49
Tumor 0.79 -0.26 3.21 4.58 0.04
Tumor 1.6 0.84 1.85 3.09 2.27
Tumor 0.89 -0.04 3.24 3.48 2.79
Tumor 1.1 0.53 1.28 4.43 2.15
Tumor 2.38 1.04 2.52 5.27 3.03
Tumor 2.67 0 2.71 4.34 -1.05
Tumor 3.71 0.65 0.9 4.95 1.99
Tumor 2.98 0.52 1.29 5.26 2.25
Tumor 1.44 0.73 2.89 4.43 2.71
Tumor 1.71 0.59 2.24 1.47 3.1
Tumor 1.62 0.67 1.96 1.9 2.67
Tumor 2.6 0.44 2.93 5.37 -2.35
Tumor 2.12 0.89 2.01 3.03 0.73
Tumor -4.39 -0.18 -1.12 -3.46 -1.9
Tumor 1.21 0.77 2.23 4.14 3.08
Tumor 1.93 1.09 2.88 3.26 3.37
Tumor 1.74 0.88 3.05 4.66 3.3
Tumor 1.54 1.23 4.3 3.98 3.1
Tumor 2.47 0.96 1.48 2.49 2.72
Tumor 2.15 0.67 3.34 5.79 2.66
Tumor -2.05 0.73 -1 -1.67 3.27
Tumor 1.14 0.76 3.73 4.76 2.35
Tumor -0.93 -0.1 -0.52 -4.42 1
Tumor 2.73 1.31 3.77 4.62 2.67
Tumor -0.69 0.55 1.16 -0.46 1.84
Tumor 0.89 0.83 2.3 5.12 0.12
Tumor 3.15 0.82 3.08 4.4 3.09
Tumor 1.48 0.04 2.97 4.81 2.21
Tumor 2.34 0.48 2.77 3.53 1.79
Tumor 3.87 0.5 3.52 5.9 2.86
Tumor 2.33 0.41 2.5 4.13 3.7
Tumor 2.07 1.18 2.29 4.27 -1.66
Tumor 1.82 0.89 2.34 3.98 -1.55
Tumor 2.42 -0.73 2.67 4.52 3.39
Tumor 2.15 0.29 2.84 2.44 2.95
Tumor 2.65 0.73 2.38 5.09 3.83
Tumor 1.51 0.08 2.38 4.23 1.47
Tumor 3.34 0.56 3.45 4.49 2.07
Tumor -1.37 0.73 -0.71 2.27 0.05
Tumor 1.4 0.63 2.51 5.25 1.64
Tumor 2.34 0.87 0.35 0.59 1.21
Tumor 0.88 0.56 2.05 1.59 0.95
Tumor 2.41 1.05 2.62 2.85 2.74
Tumor 0.92 0.56 2.29 3 2.52
Tumor -3.77 0.42 0.53 -2.97 1.11
Tumor 2.63 1.1 3.12 4.61 2.76
Tumor 2.28 0.52 2.5 4.21 3.32
Tumor -1.91 0.57 1.61 -1.59 1.58
Tumor 2.44 0.94 1.7 2.87 3.08
Tumor 2.42 0.86 1.73 4.75 2.99
Tumor 3.51 0.61 3.82 4.41 -0.66
Tumor 1.58 0.79 3.12 1.89 2.81
Tumor 2.27 0.46 2.97 4.48 3.19
Tumor -0.4 0.35 2.69 1.06 2.48
Tumor 2.12 1.18 3.02 4.04 3.4
Tumor 1.46 1.66 3.33 4.25 3.27
Tumor 1.27 0.55 1.79 3.67 2.59
Tumor 2.35 1.13 4.49 5.34 3.5
Tumor 2.36 0.71 3.17 3.54 2.41
Tumor 2.38 0.52 3.37 4.48 3.19
Tumor 2.13 0.68 1.95 4.63 3.36
Tumor 2.24 1.07 2.83 1.9 0.44
Tumor 2.27 -0.21 3.45 4.79 2.82
Tumor 0.34 1.4 3.06 -0.07 3.84
Tumor 2.35 0.77 2.46 3.04 3.29
Tumor 3.49 -0.11 3.82 5.24 2.6
Tumor 0.92 -1.34 3.29 4.78 1.32
Tumor 2.12 1.29 3.13 4.39 3.07
Tumor 1.64 0.68 2.48 4.79 1.86
Tumor 1.98 1.14 2.36 3.26 2.55
Tumor 2.04 -0.5 2.32 3.84 2.87
Tumor 2.52 0.57 3.42 3.75 3.22
Tumor 1.12 0.48 1.48 3.4 3.74
Tumor 0.01 -0.02 1.63 -2.11 2.06
Tumor 2.45 -0.37 1.89 4.01 4.05
Tumor 2.7 0.89 3.35 4.93 3.62
Tumor 2.84 -0.77 4.03 4.87 2.96
Tumor 1.7 0.84 1.39 3.38 2.54
Tumor 1.9 0.97 2.93 2.52 3.54
Tumor -1.11 0.64 0.74 -1.4 2.34
Tumor 1.96 0.77 3.3 4.63 2.83
Tumor 2.49 0.45 2.87 5.28 2.53
Tumor 1.52 0.64 2.92 4.88 2.51
Tumor 1.69 0.73 3.03 4.02 2.96
Tumor 3 -0.07 3.42 4.53 1.69
Tumor 2.47 0.98 3.76 3.28 0.91
Tumor 1.72 0.67 2.47 4.58 2.94
Tumor 2.17 1.49 2.36 4.78 2.23
Tumor 1.87 1.17 2.81 2.67 2.34
Tumor -0.16 0.61 1.27 -0.11 1.3
Tumor -4.94 -2.4 -0.64 -4.11 0.41
Tumor 1.62 0.49 2.28 3.92 1.21
Tumor 2.24 0.15 2.9 3.86 2.3
Tumor -1.6 0.79 0.58 -3.02 1.12
Tumor 1.8 -0.3 1.83 4.6 0.26
Tumor 0.36 -2.32 -1.43 -2.32 -2.39
Tumor 1.29 0.69 2.48 2.42 3.15
Tumor -3.62 -1.7 -1.38 -3.72 -0.95
Tumor 2.7 1.07 1.01 4.3 2.25
Tumor 3.17 1.17 1.67 3.02 2.89
Tumor -3.62 2.18 -1.11 -4.13 -2.08
Tumor 2.37 1.04 2.49 5.19 3.05
Tumor 0.27 0.13 0.17 -3.58 2.66
Tumor 1.25 1.32 1.68 2.98 2.48
Tumor 2.32 1.01 2.77 4.64 3.42
Tumor 2.31 0.34 1.66 2.88 2.64
Tumor 1.19 0.55 0.58 -1.22 1.99
Tumor 1.27 0.85 2.38 4.3 3.35
Tumor -1.87 0.45 -1.07 -0.45 1.04
Tumor 2.18 0.34 2.03 4.01 -0.39
Tumor 2.38 0.53 1.92 3.7 1.3
Tumor -1.71 1.14 0.73 -4.17 -1.85
Tumor 2.05 0.96 3.51 4.21 3.46
Tumor 0.86 1.23 1.39 1.92 2.26
Tumor 1.68 1.61 2.14 4.22 3.34
Tumor 2.57 0.3 3.94 5.57 3.92
Tumor 2.28 0.69 2.09 5.19 3.84
Tumor 1.54 0.75 2.51 4.05 1.03
Tumor 2.82 0.92 2.36 5.67 0.4
Tumor -2.24 0.26 -0.23 0.11 1.88
Tumor 2.4 0.75 2.62 4.59 2.8
Tumor 1.4 1.53 1.67 2.18 1.98
Tumor 1.7 1.14 1.51 2.31 2.8
Tumor 2.33 0.34 3.12 1.62 0.93
Tumor 2.72 -0.4 0.25 2.3 2.03
Tumor 2.27 0.18 3.51 4.24 1.71
Tumor 2.76 0.15 2.26 4.41 -1.27
Tumor 2.84 0.9 1.92 3.81 1.35
Tumor 2.18 -0.26 2.07 2.38 1.25
Tumor -1 1.45 0.06 -1.6 2.25
Tumor 2.18 0.85 2.39 2.59 1.47
Tumor 0.15 -1.62 2.05 -1.75 1.4
Tumor 3.51 0.55 2.47 4.86 -0.19
Tumor -3.02 0.91 -0.26 -3.17 2.72
Tumor 3.15 1.13 2.11 3.5 3.4
Tumor -0.58 -0.97 -0.96 -1.21 1.31
Tumor 2.47 0.01 1.91 4.99 2.12
Tumor 2.52 1.04 2.12 4.4 3.5
Tumor 1.66 0.93 0.02 3.15 0.41
Tumor 1.43 0.73 1.73 3.06 3.43
Tumor 2.07 0.26 0.4 2.48 2.08
Tumor 0.78 0.55 0.22 2.57 -0.02
Tumor 1.52 -1.66 2.43 3.41 3.03
Tumor -0.55 1.14 1.31 -1.72 3.33
Tumor 1.58 1.61 3.58 3.73 3.17
Tumor 3.77 1.16 2.69 3.7 1.04
Tumor 2.97 1.22 3.53 4.77 0.78
Tumor 2.33 1.72 2.69 4.37 3.06
Tumor -1.8 -0.26 -2.28 -3.83 -0.29
Tumor 2.26 1 2.39 2.05 3.37
Tumor -1.76 -1.53 -1.52 -4.56 1.67
Tumor 2.84 0.59 2.81 5.24 3.57
Tumor 3.25 0.35 1.84 2.07 1.43
Tumor -2.92 -0.35 -0.48 0.16 3.62
Tumor -0.21 -0.29 -0.57 -1.26 -0.32
Tumor 2.57 1.68 1.36 3.12 3.62
Tumor 2 1.02 3.76 6.11 3.07
Tumor 2.55 0.69 1.88 2.68 3.13
Tumor -1.18 0.23 2.07 -1.07 2.73
Tumor 1.81 0.88 2.26 2.71 2.91
Tumor -0.19 -0.06 -1.64 -4.03 -1.01
Tumor 1.69 0.34 3.65 4.16 2.57
Tumor 3.4 0.44 4.04 6 -1.7
Tumor 2.86 0.3 4.34 5.56 -0.59
Tumor -1.16 -0.22 -0.44 -1.19 1.75
Tumor 0.67 0.2 1.32 1.93 0.67
Tumor -5.25 0.71 0.12 -4.65 0.15
Tumor 2.84 0.63 2.97 2.15 1.88
Tumor 2.95 0.65 2.25 5.18 2.77
Tumor -2.98 0.92 -0.87 -2.38 1.25
Tumor 2.47 0.41 2.15 2.88 1.43
Tumor -0.72 0.72 -2.21 -0.41 -1.7
Tumor 1.99 0.45 4.32 5.92 1.11
Tumor 2.35 0.06 2.34 2.38 3.52
Tumor 1.22 1.55 3.63 -1.49 2.64
Tumor 1.59 1.43 1.22 4.39 0.78
Tumor 3.29 1.03 3.08 3.56 2.49
Tumor -3.1 -0.62 -0.18 -3.21 2.44
Tumor 1.86 0.41 2.09 2.33 2.46
Tumor 2.78 1.26 2.39 4.94 3.2
Tumor -1.23 0.59 -0.85 -1.51 1.7
Tumor -0.53 -0.59 -1.83 -4.7 -1.49
Tumor -0.77 -0.73 0.07 -0.21 1.22
Tumor -0.67 0.7 -0.76 -1.22 2.05
Tumor 1.67 1.03 2.08 3.07 2.27
Tumor 1.39 1.99 2.21 3.06 3.53
Tumor 1.22 0.84 2.77 2.84 3.43
Tumor -1.23 1.25 0.55 -0.34 0.56
Tumor 2.42 1.34 2.28 3.64 2.02
Tumor -0.41 0.89 0.74 -1.57 0.21
Tumor -0.16 0.76 -1.91 -0.62 -0.16
Tumor 1.72 0.16 2.59 4.15 3.87
Tumor 1.31 1.4 1.88 1.44 3.59
Tumor 1.36 1.41 2.32 2.94 1.9
Tumor 1.56 1.1 2.34 3.24 -0.76
Tumor 1.56 1.13 2.9 4.48 3.47
Tumor 1.15 0.8 2.29 2.64 2.49
Tumor -2.38 -1.03 -1.51 -0.94 0.23
Tumor -2.09 1.33 -1.22 1.45 -0.41
Tumor 2.66 0.47 1.58 2.63 2.29
Tumor -3.81 0.43 -1.5 -3.57 0.15
Tumor 1.64 -0.36 3.17 2.51 3.08
Tumor 1.9 1.59 2.82 4.04 3.05
Tumor 2.51 1.28 2.18 3.49 3.15
Tumor 2.52 -0.62 2.83 4.67 3.17
Tumor 2.38 1.81 3.13 5.18 2.23
Tumor 1.36 0.9 1.98 2.08 1.5
Tumor 2.6 0.66 1.69 3.32 2.96
Tumor 2.54 0.83 1.78 3.16 3.51
Tumor -1.99 0.59 -0.04 -0.34 2.14
Tumor -0.13 0.29 1.94 -2.18 3.08
Tumor 2.47 1.31 2.94 4.99 3.06
Tumor 1.1 0.58 0.91 3.73 -0.1
Tumor 2.33 -0.08 2.89 5.31 1.23
Tumor 2.14 0.76 2.71 4.97 2.95
Tumor -0.55 0.21 -1.92 -3.7 -0.57
Tumor 0.44 0.6 -0.96 -1.12 0.68
Tumor 3.11 0.82 3.07 4.15 2.69
Tumor 2.13 0.91 2.55 2.01 3.53
Tumor 2.25 1.48 2.46 3.91 3.23
Tumor 3.48 -0.51 2.61 5.49 1.29
Tumor 2.93 0.65 3.58 5.65 0.62
Tumor 2.87 1.01 2.14 3.55 2.75
Tumor 1.48 1.14 3.43 4.77 2.84
Tumor 2.21 1.21 3.53 5.07 3.57
Tumor 1.46 1.14 2.17 3 1.94
Tumor 0.94 0.27 1.02 -3.61 1.78
Tumor -0.69 0.55 0.45 -1.83 0.78
Tumor -1.36 -0.3 -0.15 -0.53 1.17
Tumor 1.88 0.89 3.78 4.5 1.88
Tumor 2.62 0.64 2.87 4.44 2.38
Tumor 1.9 1.07 3.22 3.11 2.81
Tumor 2.65 1.35 2.84 4.93 2.33
Tumor 1.89 0.6 2.56 4.71 3.08
Tumor -1.39 0.12 -1.23 -2.74 0.74
Tumor 1.62 0.9 1.95 2.11 1.94
Tumor 2.04 1.22 2.32 4.26 3.06
Tumor 2.57 0.41 3 3.31 3.13
Tumor -0.77 -0.88 -1.06 0.75 1.4
Tumor 2.65 1 3.14 4.25 2.99
Tumor 1.9 1.26 3.26 4.76 2.31
Tumor 2.99 0.45 2.88 3.75 2.27
Tumor 0.12 1.16 2 2.64 0.81
Tumor 1.53 1.42 2.58 3.43 2.94
Tumor -3.82 0.96 -0.72 -3.61 1.98
Tumor 0.46 0.38 2.5 -0.6 3.49
Tumor 0.44 1.27 2.08 3.42 1.16
Tumor 2.02 1.19 2.2 2.69 2.9
Tumor 2.45 1.2 2.54 2.29 3.89
Tumor 2.4 0.82 0.87 2.86 4.28
Tumor 2.07 0.78 2.89 4.25 2.08
Tumor 1.58 0.94 2.33 3.55 1.08
Tumor -0.14 -0.48 0.16 -1.63 2.71
Tumor 1.86 0.92 1.1 3.65 1.61
Tumor -3.23 2.8 -1.94 -0.42 -2.34
Tumor 2.02 1.29 1.91 2.36 2.97
Tumor -0.34 0.8 2.58 2.33 1.49
Tumor 0.65 0.6 1.79 -2.41 2.42
Tumor -2.32 2.02 -1.34 0.43 -2.09
Tumor 2.63 1.35 3.02 4.95 2.37
Tumor -2.58 0.91 -1.67 -3.24 -2.34
Tumor 0.06 1.32 1.55 2.92 1.07
Tumor 2.3 0.79 2.5 3.55 3.21
Tumor -0.5 2.32 0.19 2.32 -0.12
Tumor 1.83 1.09 2.66 4.51 3.39
Tumor 2.48 1.33 3.29 2.89 3.72
Tumor 1.23 0.5 1.83 1.3 1.97
Tumor -2.03 0.71 -0.9 -2.72 1.43
Tumor 1.01 1.36 1.46 1.39 0.99
Tumor 2.17 0.78 2.21 2.9 3.33
Tumor -0.28 0.26 -0.98 -1.9 0.08
Tumor 1.28 1.19 1.35 2.89 0.65
Tumor 2.49 0.86 1.83 3.02 3.53
Tumor 0.18 0.8 3.25 3.91 3.51
Tumor 1.1 0.76 2.8 4.24 2.54
Tumor 0.51 0.93 1.61 1.24 1.73
Tumor 2.27 0.99 2.58 2.94 3.19
Tumor 1.59 1.38 0.78 1.05 2.54
Tumor 0.92 0.92 1.3 2.84 1.23
Tumor 2.07 0.54 1.51 3.34 3.06
Tumor 2.5 1.2 3.44 5.01 3.51
Tumor 1.25 1.54 1.97 2.36 0.93
Tumor 2.28 1.11 2.35 4.5 2.99
Tumor -0.24 0.74 0.79 1.5 0.45
Tumor -1.13 -0.45 -0.43 -0.7 3.14
Tumor 0.27 1.42 1.86 2.8 0.82
Tumor 0.65 1.64 1.93 3.03 2.64
Tumor 0.83 1.19 2.12 3.46 1.43
Tumor 2.25 -0.6 3.8 3.94 1.81
Tumor 2.01 1.08 2.82 3.13 3.12
Tumor -0.16 1.56 1.23 1.88 1.03
Tumor -0.57 1.86 1.83 2.4 3.8
Tumor 2.6 0.73 2.63 4.74 2.43
Tumor -3.36 2.25 -1.61 0.66 -1.3
Tumor 2.39 1.83 2.28 4.31 1.78
Tumor 1.47 0.76 2.39 3.4 2.65
Tumor 1.63 1.44 2.33 2.64 2.85
Tumor 0.2 1.34 0.7 3.1 0.29
Tumor 2.32 1.32 1.85 3.82 3.17
Tumor 1.21 1.59 1.82 2.25 1.84
Tumor 0.54 1.2 3.05 2.71 2.03
Tumor 2.31 1.53 2.7 3.05 2.26
Tumor 0.62 1.41 1.31 2.32 0.22
Tumor -0.79 0.86 -0.43 1.35 1.92
Tumor 0.44 1.27 1.06 2.56 0.48
Tumor 1.71 0.73 3.7 5 3.51
Tumor 1.05 1.33 3 3.52 1.72
Tumor 2.54 1.17 2.46 4.15 3.89
Tumor 0.48 1.41 3.34 2.57 1.73
Tumor 2.2 1.21 2.17 3.04 2.34
Tumor 2.24 0.5 2.29 3.83 3.89
Tumor 0.3 1.45 2.1 2.49 1.04
Tumor 2.14 1.48 2.08 3.26 2.59
Tumor 0.53 0.68 0.65 1.22 0.84
Tumor 2.02 0.7 2.7 4.55 3.54
Tumor 0.55 1.28 2.38 1.19 2.22
Tumor 1.42 0.96 2.23 1.26 3.37
Tumor 0.85 1.37 2.4 1.49 1.43
Tumor 0.58 0.46 -1.72 -1.97 2.07
Tumor 0.5 1.07 1.75 2.06 0.33
Tumor 1.98 1.14 3.09 3.6 3.68
Tumor 2.97 0.96 2.55 3.37 1.9
Tumor 0.38 0.49 -0.88 -0.62 -0.66
Tumor 2.49 1.51 3.52 4.84 2.63
Tumor 2.48 0.21 3.84 4.32 2.52
Tumor 3.88 0.92 1.81 3.71 2.83
Tumor 2.52 0.95 2.87 5.13 3.34
Tumor -1.17 0.72 1.05 -0.95 3.39
Tumor 2.87 0.37 2.88 3.38 3.32
Tumor 1.82 0.48 1.14 2.41 2.61
Tumor 2.16 0.95 2.51 4.7 1.09
Tumor 2.64 0.35 2.64 3.92 3.23
Tumor 2.68 1.13 0.62 2.11 2.23
Tumor 1.23 0.46 2.68 2.78 1.11
Tumor 1.54 1.45 2.21 3.18 2.25
Tumor 1.66 0.8 3.28 3.84 1.74
Tumor 0.6 1.14 2.24 3.44 1.78
Tumor 1.19 1.17 3.19 3.13 3.15
Tumor -3.09 1.67 -1.84 0.64 -1.66
Tumor 2.39 0.34 2.82 4.29 3.03
Tumor 0.36 0.68 2.07 2.48 2.37
Tumor 2.65 1.19 2.48 2.9 2.39
Tumor 2.06 0.78 2.2 5.13 1.35
Tumor 1.81 0.93 3.25 4.36 3.33
Tumor 2.14 1.13 4.3 4.92 3.31
Tumor 0.52 1.03 2.25 2.95 1.42
Tumor 2.51 1.3 1.11 3.78 3.61
Tumor 1.49 1.61 2.61 3.28 3.2
Tumor 2.09 0.27 3.07 4.03 3.1
Tumor 2.01 1.06 2.29 4.43 3.2
Tumor 1.3 0.49 0.82 3.38 2.75
Tumor 2.48 0.53 2.07 5.04 1.18
Tumor 2.28 0.52 2.63 3.47 1.45
Tumor 1.21 0.96 2.29 3.41 3.37
Tumor 0.03 0.58 0.23 0.19 0.93
Tumor 1.98 1.39 3.32 5.3 3.12
Tumor 2.77 1.18 3.27 2.7 2.88
Tumor 1.73 0.45 2.4 4.13 2.29
Tumor 1.71 1.14 1.82 2.04 2.79
Tumor -3.23 -0.66 -0.27 -3.35 0.66
Tumor 1.62 1 1.89 2.48 2.71
Tumor 0.63 0.6 -1.04 -2.58 1.28
Tumor 1.29 0.34 2.63 4.07 3.48
Tumor 2.51 1.12 2.36 3.09 3.54
Tumor -0.36 1.84 1.19 1.39 0.86
Tumor 2.25 1.26 1.77 2.61 3.59
Tumor 0.97 2.47 1.78 1.66 0.84
Tumor -1.01 0.42 -1.97 -1.54 -1.59
Tumor 0.77 1.45 1.71 3.41 1.17
Tumor 1.34 1.51 1.92 4.23 1.91
Tumor 0.14 1.24 1.64 2.14 1.05
Tumor 1 1.74 1.61 3.04 2.56
Tumor 0.4 1.66 1.91 3.34 -0.1
Tumor 2.01 0.96 2.97 5.37 -0.24
Tumor 0.22 1.64 0.62 2.02 0.51
Tumor 2.05 0.88 3.29 1.46 3.22
Tumor 1.22 1.44 1.38 2.68 0.34
Tumor -1.49 0.23 -0.29 -2.05 2.25
Tumor 0.09 2.32 0.84 3.12 -0.03
Tumor 2.28 0.75 1.56 0.5 0.72
Tumor -0.02 1.29 1.06 2.91 1.06
Tumor 2.75 0.86 3.47 4.58 3.45
Tumor 1.93 -0.18 1.59 3 3.3
Tumor 0.03 1.6 1.68 3.03 1.25
Tumor 1.68 0.41 2.8 3.48 1.91
Tumor 0.36 0.13 0.83 1.69 0.99
Tumor -2.18 1.21 -1.22 -1.49 2.17
Tumor -3.45 1.69 -2.26 -0.48 -1.89
Tumor 1.39 1.02 1.39 3.73 2.71
Tumor 2.24 1.46 1.89 3.58 -0.57
Tumor 0.66 1.6 0.93 2.23 0.69
Tumor 2.57 0.91 2.6 4.74 3.81
Tumor 0.01 1.16 1.34 2.94 1.38
Tumor 1.53 0.98 2.34 4.56 2.35
Tumor 1.91 1.43 2.32 2.87 3.99
Tumor 0.31 1.74 1.31 3.12 1.9
Tumor 1.51 1.12 2.54 2.85 2.54
Tumor 0.23 1.98 0.86 2.37 1.07
Tumor -2.97 1.13 -0.06 -1.66 2.55
Tumor -1.5 1.18 -0.73 0.64 0.97
Tumor -0.7 1.22 1.13 -0.81 1.19
Tumor 3.43 0.5 2.52 5.09 -1.64
Tumor 2.95 0.52 2.56 3.86 1.78
Tumor 0.2 1.82 2.67 2.94 1.89
Tumor -3.54 1.34 -0.55 -3.06 1.08
Tumor 0.36 1.3 1.73 -0.83 2.57
Tumor 1.99 1.29 3.15 1.85 2.2
Tumor 2.42 0.22 1.28 2.42 1.45
Tumor -1.07 0.4 0.33 -1.13 -0.85
Tumor 2.07 0.47 3.27 2.55 0.69
Tumor 3 0.12 3.08 4.42 0.2
Tumor 1.84 1.5 1.17 3.2 2.32
Tumor 1.09 1.76 2.71 -2.8 3.48
Tumor 1.05 0.82 1.05 2.83 0.21
Tumor -0.7 0.3 -0.46 -2.56 1.99
Tumor 1.51 0.38 -0.76 4.1 2.27
Tumor 2.98 0.7 3.6 3.95 2.07
Tumor -1.12 -1.33 -1.83 -2.39 -0.5
Tumor -0.36 1.03 1.68 -2.54 2.55
Tumor 1.67 0.39 1.82 -0.81 0.2
Tumor 2.19 -0.32 0.7 0.64 3.3
Tumor 1.23 1.13 1.51 0.94 -1.5
Tumor 1.01 1.33 1.96 3.75 -1.04
Tumor 2.05 0.82 2.54 3.1 3.39
Tumor 1.69 0.98 1.31 2.13 3.43
Tumor 1.84 -0.72 1.93 4.85 1.02
Tumor 2.46 0.34 2.01 4.8 0.09
Tumor -1.04 0.3 -0.71 2.55 -1.33
Tumor -3.91 0.15 0.28 -2.91 1.8
Tumor 2.72 1.5 2.97 4.2 1.38
Tumor 1.59 0.85 3 2.77 2.59
Tumor -1.39 -0.18 0.98 -2.39 0.73
Tumor -2.5 0.78 0.42 -3.83 1.87
Tumor 2.38 0.87 3.52 4.15 1.02
Tumor 2.23 0.77 2.91 4.78 3.32
Tumor -3.5 1.57 -0.6 -3.27 -1.21
Tumor 2.42 0.63 2.49 5.44 -0.99
Tumor 2.39 0.8 2.66 4.42 2.82
Tumor 2.39 0.76 3.78 4.22 3.38
Tumor 1.03 0.59 1.75 2.04 1.56
Tumor 1.82 0.58 2.91 4.34 -0.37
Tumor 3.55 0.82 2.59 4.1 3.38
Tumor 2.72 -0.22 2.56 4.62 2.42
Tumor 1.79 -0.11 0.7 4.23 2.05
Tumor 3.11 0.85 4.74 5.31 3.22
Tumor 2.31 0.89 1.95 3.17 3.24
Tumor 0.41 -1.99 -0.7 -3.47 1.27
Tumor 1.91 1.48 1.99 4.37 3.2
Tumor 0.36 0.63 0.28 -2.43 1.98
Tumor 2.86 -0.34 1.86 5.16 3.12
Tumor -2.52 0 -1.15 -3.63 0.86
Tumor 2.63 0.36 3.19 5.14 -1.29
Tumor 2.69 0 2.56 4.01 1.74
Tumor 1.54 1.11 2 1.76 3.08
Tumor 2 0.89 1.56 3.7 1.79
Tumor -2.53 0.05 1.14 -0.93 1.16
